terminal_voltage,terminal_current,temperature,charge_current,charge_voltage,time,capacity,cycle,SOH
4.162189847,-0.001097301,5.605065604,0.0006,0,0,1.516148847,2,0.758074424
4.162338776,-0.000316866,5.633756762,0.0004,4.178,9.297,1.516148847,2,0.758074424
3.982724045,-1.006594661,5.657016246,0.9986,3.505,23.265,1.516148847,2,0.758074424
3.963664768,-1.007228553,5.717220051,0.9988,3.483,36.437,1.516148847,2,0.758074424
3.949482828,-1.007115003,5.786705592,0.9988,3.467,49.609,1.516148847,2,0.758074424
3.937524914,-1.005980351,5.843613167,0.9988,3.455,62.781,1.516148847,2,0.758074424
3.927401523,-1.005529111,5.912992333,0.9988,3.444,76.094,1.516148847,2,0.758074424
3.918549327,-1.005627685,5.980449551,0.9988,3.435,89.265,1.516148847,2,0.758074424
3.910431947,-1.006258738,6.04240319,0.9988,3.429,102.469,1.516148847,2,0.758074424
3.903140714,-1.00658292,6.104135528,0.9988,3.421,115.625,1.516148847,2,0.758074424
3.896559404,-1.005393836,6.183997007,0.9988,3.415,128.812,1.516148847,2,0.758074424
3.890439107,-1.006896031,6.24823559,0.9988,3.409,141.984,1.516148847,2,0.758074424
3.884789081,-1.006590144,6.326560986,0.9988,3.404,155.109,1.516148847,2,0.758074424
3.879634057,-1.006508475,6.383451458,0.9988,3.4,168.312,1.516148847,2,0.758074424
3.874732623,-1.006679666,6.455486443,0.9988,3.395,181.515,1.516148847,2,0.758074424
3.870228631,-1.007124389,6.521066743,0.9988,3.391,194.719,1.516148847,2,0.758074424
3.865954851,-1.006081865,6.574483518,0.9988,3.387,207.906,1.516148847,2,0.758074424
3.861812417,-1.005971053,6.647746933,0.9988,3.383,221.047,1.516148847,2,0.758074424
3.857947368,-1.00583116,6.714712028,0.9988,3.379,234.234,1.516148847,2,0.758074424
3.85409098,-1.006863478,6.790503215,0.9988,3.376,247.437,1.516148847,2,0.758074424
3.850511982,-1.007168647,6.849237785,0.9988,3.373,260.609,1.516148847,2,0.758074424
3.846983846,-1.007500048,6.908187657,0.9988,3.37,273.75,1.516148847,2,0.758074424
3.843518204,-1.007075966,6.974679733,0.9988,3.367,286.937,1.516148847,2,0.758074424
3.840138644,-1.005847128,7.029161095,0.9988,3.363,300.172,1.516148847,2,0.758074424
3.836727702,-1.006325743,7.106180065,0.9988,3.359,313.328,1.516148847,2,0.758074424
3.833390131,-1.007273531,7.160030955,0.9988,3.355,326.5,1.516148847,2,0.758074424
3.830156151,-1.007106687,7.229676862,0.9988,3.353,339.687,1.516148847,2,0.758074424
3.82686862,-1.007208395,7.284347949,0.9988,3.35,352.89,1.516148847,2,0.758074424
3.823411663,-1.006459754,7.34357185,0.9988,3.347,366.047,1.516148847,2,0.758074424
3.820145975,-1.006280472,7.407593682,0.9988,3.343,379.203,1.516148847,2,0.758074424
3.8169225,-1.002484662,7.460321978,0.9988,3.341,392.406,1.516148847,2,0.758074424
3.813427151,-1.008210632,7.515671486,0.9988,3.338,405.594,1.516148847,2,0.758074424
3.810072241,-1.006322726,7.577951511,0.9988,3.335,418.75,1.516148847,2,0.758074424
3.806933743,-1.006168408,7.63828999,0.9988,3.332,431.922,1.516148847,2,0.758074424
3.803545246,-1.007566965,7.692162338,0.9988,3.329,445.125,1.516148847,2,0.758074424
3.800252355,-1.007118172,7.73998903,0.9988,3.326,458.312,1.516148847,2,0.758074424
3.797126638,-1.007007427,7.795163706,0.9988,3.322,471.437,1.516148847,2,0.758074424
3.793725715,-1.006384179,7.860942003,0.9988,3.32,484.64,1.516148847,2,0.758074424
3.790417291,-1.008452646,7.919470435,0.9988,3.317,497.828,1.516148847,2,0.758074424
3.787372058,-1.007421848,7.955052035,0.9988,3.314,511.031,1.516148847,2,0.758074424
3.784211216,-1.008191414,8.008285338,0.9988,3.311,524.187,1.516148847,2,0.758074424
3.781112926,-1.006218233,8.056398001,0.9988,3.308,537.375,1.516148847,2,0.758074424
3.777934956,-1.006981459,8.104351547,0.9988,3.306,550.531,1.516148847,2,0.758074424
3.775083946,-1.006606627,8.100382614,0.9988,3.302,563.672,1.516148847,2,0.758074424
3.772082924,-1.005750299,7.941970462,0.9988,3.3,576.812,1.516148847,2,0.758074424
3.768786825,-1.007219989,7.756818215,0.9988,3.296,590,1.516148847,2,0.758074424
3.765616363,-1.007501955,7.655253192,0.9988,3.293,603.281,1.516148847,2,0.758074424
3.762283224,-1.007192276,7.579303984,0.9988,3.29,616.469,1.516148847,2,0.758074424
3.759009836,-1.007046369,7.494371447,0.9988,3.287,629.64,1.516148847,2,0.758074424
3.755892561,-1.006359147,7.385220432,0.9988,3.284,642.734,1.516148847,2,0.758074424
3.752640786,-1.006870794,7.262988091,0.9988,3.28,655.812,1.516148847,2,0.758074424
3.749324972,-1.005593347,7.181807536,0.9988,3.277,669.062,1.516148847,2,0.758074424
3.746028979,-1.007647266,7.087027492,0.9988,3.274,682.265,1.516148847,2,0.758074424
3.742743567,-1.008345398,7.006155279,0.9988,3.271,695.406,1.516148847,2,0.758074424
3.739558003,-1.007169484,6.910524657,0.9988,3.268,708.562,1.516148847,2,0.758074424
3.736263778,-1.00786131,6.844792007,0.9988,3.264,721.75,1.516148847,2,0.758074424
3.733183116,-1.005533958,6.766786606,0.9988,3.262,734.89,1.516148847,2,0.758074424
3.730090455,-1.007589114,6.848391096,0.9988,3.259,747.984,1.516148847,2,0.758074424
3.727288645,-1.007098082,6.94736753,0.9988,3.256,761.109,1.516148847,2,0.758074424
3.724182814,-1.007419192,6.988124866,0.9988,3.253,774.281,1.516148847,2,0.758074424
3.721674092,-1.009623034,7.017103843,0.9988,3.25,787.484,1.516148847,2,0.758074424
3.718673748,-1.003565561,7.066990545,0.9988,3.248,800.609,1.516148847,2,0.758074424
3.716181177,-1.007241297,7.090803679,0.9988,3.245,813.797,1.516148847,2,0.758074424
3.713652534,-1.007079052,7.105350109,0.9988,3.242,826.969,1.516148847,2,0.758074424
3.711534954,-1.00651402,7.137941384,0.9988,3.241,840.062,1.516148847,2,0.758074424
3.709210209,-1.009566979,7.146447177,0.9988,3.239,853.203,1.516148847,2,0.758074424
3.706848826,-1.007553934,7.15085767,0.9988,3.236,866.359,1.516148847,2,0.758074424
3.704547207,-1.005212848,7.177928559,0.9988,3.234,879.515,1.516148847,2,0.758074424
3.702315307,-1.007991124,7.191794848,0.9988,3.232,892.625,1.516148847,2,0.758074424
3.699994822,-1.007886103,7.212104588,0.9988,3.229,905.781,1.516148847,2,0.758074424
3.697948305,-1.007463117,7.211419634,0.9988,3.227,918.89,1.516148847,2,0.758074424
3.695795178,-1.006922789,7.238422585,0.9988,3.225,931.984,1.516148847,2,0.758074424
3.693719704,-1.006239201,7.246347218,0.9988,3.223,945.14,1.516148847,2,0.758074424
3.691652623,-1.006724018,7.273996752,0.9988,3.221,958.265,1.516148847,2,0.758074424
3.689518845,-1.007282422,7.300554902,0.9988,3.22,971.422,1.516148847,2,0.758074424
3.687456717,-1.007203901,7.298639151,0.9988,3.217,984.547,1.516148847,2,0.758074424
3.685475058,-1.006651273,7.321118698,0.9988,3.216,997.64,1.516148847,2,0.758074424
3.683354766,-1.007140494,7.332479771,0.9988,3.214,1010.797,1.516148847,2,0.758074424
3.681384583,-1.005994519,7.354636565,0.9988,3.212,1023.937,1.516148847,2,0.758074424
3.679561293,-1.006358858,7.386896097,0.9988,3.21,1037.015,1.516148847,2,0.758074424
3.677556654,-1.007287743,7.38382685,0.9988,3.208,1050.14,1.516148847,2,0.758074424
3.675502639,-1.006572645,7.40880283,0.9988,3.206,1063.281,1.516148847,2,0.758074424
3.673730912,-1.007430717,7.429038031,0.9988,3.204,1076.453,1.516148847,2,0.758074424
3.671791134,-1.007586802,7.455580854,0.9988,3.202,1089.656,1.516148847,2,0.758074424
3.669937937,-1.007231987,7.467964771,0.9988,3.2,1102.781,1.516148847,2,0.758074424
3.667916787,-1.007555284,7.485757256,0.9988,3.198,1115.969,1.516148847,2,0.758074424
3.666059616,-1.006445472,7.497357634,0.9988,3.197,1129.078,1.516148847,2,0.758074424
3.664305825,-1.007456662,7.53539808,0.9988,3.195,1142.203,1.516148847,2,0.758074424
3.662353583,-1.007082287,7.55108694,0.9988,3.194,1155.422,1.516148847,2,0.758074424
3.660652116,-1.007617662,7.578505051,0.9988,3.192,1168.547,1.516148847,2,0.758074424
3.658955607,-1.008244309,7.598446009,0.9988,3.19,1181.703,1.516148847,2,0.758074424
3.657152519,-1.007041092,7.61594048,0.9988,3.187,1194.828,1.516148847,2,0.758074424
3.655242663,-1.006255721,7.643797389,0.9988,3.186,1207.969,1.516148847,2,0.758074424
3.653654536,-1.008201852,7.668533939,0.9988,3.184,1221.094,1.516148847,2,0.758074424
3.651881622,-1.007197812,7.692216071,0.9988,3.182,1234.234,1.516148847,2,0.758074424
3.650244344,-1.006490681,7.704440935,0.9988,3.181,1247.344,1.516148847,2,0.758074424
3.648544225,-1.007305988,7.728043083,0.9988,3.18,1260.515,1.516148847,2,0.758074424
3.646839978,-1.006779451,7.758245625,0.9988,3.178,1273.719,1.516148847,2,0.758074424
3.645154506,-1.00716644,7.76084619,0.9988,3.176,1286.875,1.516148847,2,0.758074424
3.643407039,-1.006994673,7.801279942,0.9988,3.174,1300,1.516148847,2,0.758074424
3.641774935,-1.007036134,7.822301193,0.9988,3.173,1313.156,1.516148847,2,0.758074424
3.640160518,-1.006229108,7.825181027,0.9988,3.172,1326.265,1.516148847,2,0.758074424
3.638631045,-1.005818929,7.859419807,0.9988,3.169,1339.375,1.516148847,2,0.758074424
3.636977529,-1.007139786,7.884068473,0.9988,3.168,1352.531,1.516148847,2,0.758074424
3.63526121,-1.006960514,7.896822773,0.9988,3.166,1365.609,1.516148847,2,0.758074424
3.633609118,-1.007665706,7.915718785,0.9988,3.165,1378.828,1.516148847,2,0.758074424
3.632068724,-1.007052414,7.939237716,0.9988,3.163,1392.015,1.516148847,2,0.758074424
3.630499272,-1.006980945,7.959698952,0.9988,3.162,1405.187,1.516148847,2,0.758074424
3.629075364,-1.007574142,7.980485063,0.9988,3.16,1418.297,1.516148847,2,0.758074424
3.627412644,-1.006509107,7.99212617,0.9988,3.159,1431.453,1.516148847,2,0.758074424
3.625738886,-1.006849356,8.014862005,0.9988,3.158,1444.609,1.516148847,2,0.758074424
3.624088229,-1.006308699,8.038428818,0.9988,3.155,1457.797,1.516148847,2,0.758074424
3.622797185,-1.005973451,8.058414334,0.9988,3.153,1471,1.516148847,2,0.758074424
3.621243197,-1.008258158,8.070631049,0.9988,3.152,1484.094,1.516148847,2,0.758074424
3.619899234,-1.007641986,8.097998662,0.9988,3.151,1497.234,1.516148847,2,0.758074424
3.618386172,-1.006482658,8.116515536,0.9988,3.149,1510.469,1.516148847,2,0.758074424
3.616774636,-1.007421074,8.136604799,0.9988,3.148,1523.609,1.516148847,2,0.758074424
3.615506807,-1.007660181,8.161342258,0.9988,3.147,1536.781,1.516148847,2,0.758074424
3.614077799,-1.007480976,8.196211548,0.9988,3.145,1549.89,1.516148847,2,0.758074424
3.612525284,-1.005555178,8.222404492,0.9988,3.144,1563.031,1.516148847,2,0.758074424
3.611144711,-1.006041376,8.238050807,0.9988,3.143,1576.172,1.516148847,2,0.758074424
3.609566568,-1.005932,8.245439501,0.9988,3.141,1589.281,1.516148847,2,0.758074424
3.608416832,-1.00700007,8.285996065,0.9988,3.14,1602.437,1.516148847,2,0.758074424
3.60690362,-1.00663177,8.316213262,0.9988,3.138,1615.594,1.516148847,2,0.758074424
3.605637215,-1.006951839,8.340348047,0.9988,3.137,1628.734,1.516148847,2,0.758074424
3.604342968,-1.009302374,8.361742619,0.9988,3.136,1641.875,1.516148847,2,0.758074424
3.602647241,-1.004567865,8.38580536,0.9988,3.134,1655.094,1.516148847,2,0.758074424
3.601369629,-1.007430935,8.389108092,0.9988,3.133,1668.265,1.516148847,2,0.758074424
3.600323406,-1.006665651,8.406519233,0.9988,3.132,1681.406,1.516148847,2,0.758074424
3.598811416,-1.006973404,8.428913793,0.9988,3.131,1694.562,1.516148847,2,0.758074424
3.597546551,-1.007349197,8.458883233,0.9988,3.13,1707.781,1.516148847,2,0.758074424
3.59625195,-1.007520869,8.486546919,0.9988,3.128,1720.969,1.516148847,2,0.758074424
3.595064285,-1.006742032,8.514178202,0.9988,3.127,1734.047,1.516148847,2,0.758074424
3.593660014,-1.007075935,8.535095983,0.9988,3.126,1747.203,1.516148847,2,0.758074424
3.592451972,-1.007604897,8.565249044,0.9988,3.124,1760.344,1.516148847,2,0.758074424
3.591150995,-1.007686658,8.553110318,0.9988,3.123,1773.484,1.516148847,2,0.758074424
3.590007602,-1.007258866,8.429713002,0.9988,3.122,1786.547,1.516148847,2,0.758074424
3.588624772,-1.0079585,8.230078324,0.9988,3.121,1799.687,1.516148847,2,0.758074424
3.586937518,-1.007342581,8.097331983,0.9988,3.119,1812.875,1.516148847,2,0.758074424
3.58542403,-1.007933265,7.96955876,0.9988,3.118,1826.094,1.516148847,2,0.758074424
3.583654158,-1.007548878,7.829579654,0.9988,3.116,1839.25,1.516148847,2,0.758074424
3.581982951,-1.006662605,7.756386417,0.9988,3.114,1852.359,1.516148847,2,0.758074424
3.579941495,-1.008310278,7.663926568,0.9988,3.112,1865.547,1.516148847,2,0.758074424
3.578110387,-1.007402008,7.561029154,0.9988,3.11,1878.687,1.516148847,2,0.758074424
3.576158576,-1.009010528,7.437059638,0.9988,3.108,1891.812,1.516148847,2,0.758074424
3.57430255,-1.007132483,7.355085948,0.9988,3.106,1904.937,1.516148847,2,0.758074424
3.572304904,-1.007119769,7.243761929,0.9988,3.104,1918.094,1.516148847,2,0.758074424
3.570314024,-1.008881422,7.180582314,0.9988,3.102,1931.187,1.516148847,2,0.758074424
3.568211525,-1.008230152,7.08404754,0.9988,3.1,1944.375,1.516148847,2,0.758074424
3.566265715,-1.007712995,7.046173934,0.9988,3.098,1957.547,1.516148847,2,0.758074424
3.564293479,-1.007379449,7.172419599,0.9988,3.097,1970.703,1.516148847,2,0.758074424
3.56243939,-1.007326906,7.257416669,0.9988,3.095,1983.906,1.516148847,2,0.758074424
3.560667831,-1.008133865,7.295797663,0.9988,3.093,1997.094,1.516148847,2,0.758074424
3.559118424,-1.007935589,7.331824504,0.9988,3.091,2010.219,1.516148847,2,0.758074424
3.557447892,-1.007360312,7.384748483,0.9988,3.09,2023.359,1.516148847,2,0.758074424
3.555886815,-1.007486863,7.412655907,0.9988,3.088,2036.562,1.516148847,2,0.758074424
3.554471108,-1.006097253,7.42873695,0.9988,3.087,2049.672,1.516148847,2,0.758074424
3.553150075,-1.008118991,7.44772537,0.9988,3.086,2062.844,1.516148847,2,0.758074424
3.551666595,-1.008533255,7.467444515,0.9988,3.084,2076.047,1.516148847,2,0.758074424
3.550599237,-1.006494812,7.507204588,0.9988,3.083,2089.187,1.516148847,2,0.758074424
3.549090852,-1.008214479,7.541744563,0.9988,3.082,2102.359,1.516148847,2,0.758074424
3.547872598,-1.008438768,7.56342729,0.9988,3.08,2115.469,1.516148847,2,0.758074424
3.546581236,-1.007447125,7.555736386,0.9988,3.079,2128.594,1.516148847,2,0.758074424
3.545473956,-1.006797834,7.570769738,0.9988,3.078,2141.719,1.516148847,2,0.758074424
3.544282845,-1.007515107,7.583640496,0.9988,3.077,2154.875,1.516148847,2,0.758074424
3.543104132,-1.006708981,7.631856813,0.9988,3.074,2167.984,1.516148847,2,0.758074424
3.541859362,-1.007777819,7.642406371,0.9988,3.073,2181.109,1.516148847,2,0.758074424
3.540900535,-1.007159014,7.661176509,0.9988,3.072,2194.25,1.516148847,2,0.758074424
3.539718907,-1.008284158,7.705884735,0.9988,3.072,2207.375,1.516148847,2,0.758074424
3.538550897,-1.007847402,7.712758226,0.9988,3.07,2220.437,1.516148847,2,0.758074424
3.5375711,-1.007704139,7.731356982,0.9988,3.07,2233.562,1.516148847,2,0.758074424
3.536562477,-1.007000938,7.770089081,0.9988,3.068,2246.719,1.516148847,2,0.758074424
3.535550029,-1.007126795,7.789741431,0.9988,3.068,2259.828,1.516148847,2,0.758074424
3.534408119,-1.008553568,7.804339608,0.9988,3.066,2273,1.516148847,2,0.758074424
3.533480573,-1.007444712,7.846810496,0.9988,3.066,2286.109,1.516148847,2,0.758074424
3.532346777,-1.006875087,7.853824504,0.9988,3.065,2299.234,1.516148847,2,0.758074424
3.531583862,-1.007484943,7.905103933,0.9988,3.064,2312.422,1.516148847,2,0.758074424
3.530489175,-1.009426812,7.912489092,0.9988,3.063,2325.578,1.516148847,2,0.758074424
3.529568114,-1.006271219,7.941230997,0.9988,3.062,2338.64,1.516148847,2,0.758074424
3.528666901,-1.008637755,7.973362514,0.9988,3.061,2351.797,1.516148847,2,0.758074424
3.527752624,-1.007161712,8.011182135,0.9988,3.06,2364.953,1.516148847,2,0.758074424
3.526574224,-1.007900916,8.035756107,0.9988,3.059,2378.078,1.516148847,2,0.758074424
3.525794673,-1.00762512,8.067794893,0.9988,3.058,2391.281,1.516148847,2,0.758074424
3.524892966,-1.008563482,8.083161894,0.9988,3.058,2404.406,1.516148847,2,0.758074424
3.523909041,-1.008354485,8.118985952,0.9988,3.056,2417.547,1.516148847,2,0.758074424
3.52284181,-1.007383422,8.131690596,0.9988,3.056,2430.734,1.516148847,2,0.758074424
3.521956715,-1.008679697,8.166107625,0.9988,3.055,2443.89,1.516148847,2,0.758074424
3.521140323,-1.008851126,8.211671384,0.9988,3.054,2457.094,1.516148847,2,0.758074424
3.520117373,-1.007115272,8.230714536,0.9988,3.053,2470.265,1.516148847,2,0.758074424
3.519302816,-1.008618237,8.262490532,0.9988,3.052,2483.484,1.516148847,2,0.758074424
3.518456814,-1.007090066,8.285526593,0.9988,3.052,2496.609,1.516148847,2,0.758074424
3.517504587,-1.006326274,8.322701621,0.9988,3.05,2509.797,1.516148847,2,0.758074424
3.516662086,-1.007283846,8.329313317,0.9988,3.05,2522.969,1.516148847,2,0.758074424
3.515618394,-1.006830393,8.378052636,0.9988,3.048,2536.156,1.516148847,2,0.758074424
3.514750686,-1.006603883,8.410540733,0.9988,3.048,2549.281,1.516148847,2,0.758074424
3.51373682,-1.006500986,8.431419203,0.9988,3.047,2562.515,1.516148847,2,0.758074424
3.512997773,-1.00681141,8.430161627,0.9988,3.046,2575.719,1.516148847,2,0.758074424
3.511970862,-1.008883722,8.470820715,0.9988,3.045,2588.906,1.516148847,2,0.758074424
3.511115308,-1.007422173,8.498111295,0.9988,3.044,2602.109,1.516148847,2,0.758074424
3.510034969,-1.007895539,8.510773896,0.9988,3.044,2615.219,1.516148847,2,0.758074424
3.509442711,-1.00888889,8.536730564,0.9988,3.042,2628.437,1.516148847,2,0.758074424
3.508443846,-1.006757382,8.565473075,0.9988,3.042,2641.609,1.516148847,2,0.758074424
3.507531288,-1.007746407,8.581057678,0.9988,3.04,2654.844,1.516148847,2,0.758074424
3.506543266,-1.007848346,8.605497051,0.9988,3.04,2667.984,1.516148847,2,0.758074424
3.505594636,-1.007350146,8.633636086,0.9988,3.039,2681.109,1.516148847,2,0.758074424
3.50473785,-1.007970592,8.637910266,0.9988,3.038,2694.234,1.516148847,2,0.758074424
3.50390555,-1.008789426,8.668813859,0.9988,3.037,2707.375,1.516148847,2,0.758074424
3.502794065,-1.007462929,8.677261336,0.9988,3.036,2720.515,1.516148847,2,0.758074424
3.501936019,-1.008146234,8.706078518,0.9988,3.035,2733.625,1.516148847,2,0.758074424
3.500979029,-1.007981545,8.7372714,0.9988,3.034,2746.765,1.516148847,2,0.758074424
3.500086481,-1.008243959,8.765949111,0.9988,3.033,2759.89,1.516148847,2,0.758074424
3.498979694,-1.007679592,8.787140217,0.9988,3.032,2773.031,1.516148847,2,0.758074424
3.497926157,-1.007606516,8.815035106,0.9988,3.031,2786.265,1.516148847,2,0.758074424
3.497215682,-1.007545022,8.830806701,0.9988,3.03,2799.422,1.516148847,2,0.758074424
3.496136062,-1.007267843,8.866820095,0.9988,3.029,2812.562,1.516148847,2,0.758074424
3.4952499,-1.008761396,8.890586348,0.9988,3.028,2825.672,1.516148847,2,0.758074424
3.494268222,-1.009402815,8.924166566,0.9988,3.028,2838.781,1.516148847,2,0.758074424
3.493256073,-1.00801908,8.956358819,0.9988,3.026,2851.937,1.516148847,2,0.758074424
3.492103858,-1.008404289,8.960754331,0.9988,3.026,2865.062,1.516148847,2,0.758074424
3.491417222,-1.007085649,8.995074918,0.9988,3.024,2878.203,1.516148847,2,0.758074424
3.490216978,-1.007596934,9.032543352,0.9988,3.024,2891.312,1.516148847,2,0.758074424
3.489319507,-1.00907662,9.046602894,0.9988,3.022,2904.531,1.516148847,2,0.758074424
3.48841707,-1.008250031,9.064972394,0.9988,3.022,2917.719,1.516148847,2,0.758074424
3.487310364,-1.009493235,9.094966066,0.9988,3.02,2930.844,1.516148847,2,0.758074424
3.486263366,-1.008738586,9.140196639,0.9988,3.02,2944.031,1.516148847,2,0.758074424
3.485287982,-1.008947506,9.163547223,0.9988,3.018,2957.172,1.516148847,2,0.758074424
3.484225671,-1.009043684,9.186954476,0.9988,3.018,2970.297,1.516148847,2,0.758074424
3.483230919,-1.009755798,9.156638053,0.9988,3.016,2983.406,1.516148847,2,0.758074424
